1-1,0
1-2,0
1-3,0
1-4,0
1-5,0
1-6,0
1-7,0
1-8,0
1-9,0
1-10,0
1-11,0
1-12,0
1-13,0
2-1,0
2-2,1
2-3,1
2-4,1
2-5,1
2-6,0
2-7,0
3-1,0
3-2,0
3-3,0
3-4,0
3-5,0
3-6,0
3-7,0
3-8,0
4-1,0
4-2,0
4-3,1
4-4,0
4-5,0
4-6,0
4-7,0
4-8,0
4-9,0
4-10,1
5-1,1
5-2,0
6-1,0
6-2,0
6-3,0
6-4,0
6-5,0
6-6,1
6-7,1
6-8,0
6-9,1
6-10,0
6-11,0
6-12,1
6-13,1
6-14,0
6-15,0
6-16,0
6-17,0
6-18,0
6-19,0
6-20,1
7-1,1
7-2,0
8-1,0
8-2,0
8-3,0
8-4,0
8-5,1
8-6,0
8-7,0
8-8,0
8-9,0
8-10,0
8-11,0
8-12,0
8-13,0
8-14,1
8-15,1
8-16,0
8-17,1
8-18,0
8-19,0
8-20,1
9-1,0
9-2,0
9-3,0
9-4,0
9-5,0
9-6,0
10-1,0
10-2,0
10-3,0
10-4,0
11-1,0
11-2,0
12-1,0
12-2,0
12-3,0
12-4,0
12-5,0
13-1,0
13-2,0
13-3,1
13-4,1
13-5,1
13-6,0
13-7,0
13-8,1
13-9,0
13-10,0
13-11,0
13-12,0
14-1,0
14-2,0
14-3,0
14-4,0
14-5,0
14-6,0
14-7,0
14-8,0
15-1,0
15-2,1
15-3,0
15-4,0
15-5,0
15-6,0
15-7,0
15-8,0
16-1,0
16-2,0
16-3,1
16-4,0
16-5,0
16-6,0
17-1,0
18-1,0
18-2,1
18-3,0
18-4,1
18-5,1
18-6,1
18-7,1
19-1,0
19-2,1
19-3,1
19-4,0
19-5,0
19-6,0
19-7,1
19-8,1
19-9,0
19-10,0
19-11,0
19-12,0
19-13,0
19-14,0
19-15,1
19-16,1
19-17,1
19-18,1
19-19,0
19-20,0
19-21,0
19-22,0
19-23,0
19-24,1
19-25,0
19-26,0
19-27,1
19-28,1
19-29,1
20-1,1
20-2,0
20-3,1
20-4,0
20-5,1
20-6,0
20-7,0
20-8,1
20-9,0
21-1,1
21-2,1
21-3,0
21-4,0
21-5,1
21-6,1
21-7,1
21-8,1
21-9,1
22-1,1
22-2,1
23-1,1
23-2,0
23-3,1
24-1,0
24-2,0
24-3,0
24-4,1
24-5,0
24-6,1
24-7,1
24-8,0
25-1,0
25-2,0
25-3,0
25-4,0
25-5,1
25-6,0
26-1,1
26-2,1
27-1,1
27-2,1
28-1,1
28-2,0
28-3,1
28-4,1
28-5,1
28-6,1
28-7,1
28-8,1
28-9,1
28-10,0
28-11,1
28-12,1
29-1,1
29-2,0
29-3,1
29-4,0
29-5,0
29-6,0
30-1,1
30-2,0
30-3,0
30-4,1
30-5,0
30-6,0
30-7,1
30-8,0
30-9,1
31-1,0
31-2,0
31-3,0
31-4,0
32-1,0
32-2,0
32-3,0
32-4,1
32-5,1
32-6,0
32-7,1
33-1,0
33-2,0
33-3,0
33-4,1
34-1,0
35-1,0
35-2,0
36-1,0
36-2,0
36-3,0
36-4,0
36-5,0
36-6,0
36-7,1
36-8,0
36-9,1
36-10,0
36-11,0
36-12,1
36-13,1
36-14,0
36-15,0
36-16,1
36-17,1
36-18,0
36-19,0
36-20,1
36-21,1
36-22,0
36-23,0
36-24,0
36-25,1
36-26,0
36-27,0
37-1,0
37-2,1
37-3,1
37-4,1
37-5,0
38-1,0
38-2,0
39-1,1
39-2,0
39-3,1
39-4,0
39-5,0
39-6,0
39-7,0
39-8,0
39-9,0
40-1,1
40-2,1
40-3,0
40-4,0
40-5,1
40-6,0
40-7,0
40-8,0
40-9,0
40-10,0
41-1,0
41-2,1
41-3,1
42-1,0
42-2,0
43-1,0
43-2,0
44-1,1
44-2,0
44-3,1
44-4,0
44-5,0
44-6,0
45-1,0
45-2,0
45-3,0
45-4,0
45-5,0
